route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
3,24EILA_R04,24EILA_R04_4,OJAIZ,1,,Route_13
3,24EILA_R04,24EILA_R04_5,PASEO DE PEREDA 35,0,,Route_383
3,24EILA_R04,24EILA_R04_6,OJAIZ,1,,Route_11
3,24EILA_R04,24EILA_R04_7,PASEO DE PEREDA 35,0,,Route_383
2,24EILA_R04,24EILA_R04_8,CORBAN,1,,Route_180
4,24EILA_R05,24EILA_R05_2,BARRIO PESQUERO,0,,Route_185
4,24EILA_R05,24EILA_R05_3,INTERCAMBIADOR SARDINERO,1,,Route_186
4,24EILA_R05,24EILA_R05_4,BARRIO PESQUERO,0,,Route_185
4,24EILA_R05,24EILA_R05_5,INTERCAMBIADOR SARDINERO,1,,Route_186
71,24EILA_R06,24EILA_R06_2,L.QUINTANILLA,0,,Route_195
4,24EILA_R06,24EILA_R06_3,BARRIO PESQUERO,0,,Route_185
4,24EILA_R06,24EILA_R06_4,INTERCAMBIADOR SARDINERO,1,,Route_186
4,24EILA_R06,24EILA_R06_5,BARRIO PESQUERO,0,,Route_185
4,24EILA_R06,24EILA_R06_6,INTERCAMBIADOR SARDINERO,1,,Route_186
62,24EILA_R06,24EILA_R06_7,COMPLEJO RUTH BEITIA,0,,Route_367
12,24EILA_R07,24EILA_R07_2,CARREFOUR,0,,Route_388
100,24EILA_R07,24EILA_R07_3,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILA_R07,24EILA_R07_4,INTERCAMBIADOR SARDINERO,0,,Route_394
100,24EILA_R07,24EILA_R07_5,INT. AVDA. VALDECILLA,1,,Route_174
100,24EILA_R07,24EILA_R07_6,INTERCAMBIADOR SARDINERO,0,,Route_394
2,24EILA_R07,24EILA_R07_7,CORBAN,1,,Route_180
61,24EILA_R08,24EILA_R08_2,COMPLEJO DEPORTIVO,0,,Route_366
62,24EILA_R08,24EILA_R08_3,COMPLEJO RUTH BEITIA,0,,Route_367
4,24EILA_R08,24EILA_R08_4,BARRIO PESQUERO,0,,Route_185
4,24EILA_R08,24EILA_R08_5,INTERCAMBIADOR SARDINERO,1,,Route_186
13,24EILA_R09,24EILA_R09_2,LLUJA,1,,Route_36
13,24EILA_R09,24EILA_R09_3,CUETO por el SARDINERO,0,,Route_375
71,24EILA_R09,24EILA_R09_4,L.QUINTANILLA,0,,Route_195
12,24EILA_R10,24EILA_R10_2,CARREFOUR,0,,Route_388
12,24EILA_R10,24EILA_R10_3,CARREFOUR,0,,Route_388
1,24EILA_R11,24EILA_R11_2,PCTCAN-UNEATLANTICO,1,,Route_372
1,24EILA_R11,24EILA_R11_3,GONZALEZ TREVILLA,0,,Route_380
1,24EILA_R11,24EILA_R11_4,PCTCAN-UNEATLANTICO,1,,Route_372
1,24EILA_R11,24EILA_R11_5,GONZALEZ TREVILLA,0,,Route_380
1,24EILA_R12,24EILA_R12_2,GONZALEZ TREVILLA,0,,Route_380
1,24EILA_R12,24EILA_R12_3,PCTCAN-UNEATLANTICO,1,,Route_372
52,24EILA_R12,24EILA_R12_4,MIRANDA,0,,Route_191
51,24EILA_R12,24EILA_R12_5,MIRANDA,0,,Route_189
52,24EILA_R14,24EILA_R14_2,MIRANDA,0,,Route_191
1,24EILUA_0107,24EILUA_0107_2,PCTCAN-UNEATLANTICO,1,,Route_372
